date,farm_id,weight
2019-8-21,Farm 0,6697
2019-8-21,Farm 1,8818
2019-8-21,Farm 2,3488
2019-8-22,Farm 0,6809
2019-8-22,Farm 1,8875
2019-8-22,Farm 2,3504
2019-8-23,Farm 0,6707
2019-8-23,Farm 1,8671
2019-8-23,Farm 2,3509
2019-8-24,Farm 0,6646
2019-8-24,Farm 1,8728
2019-8-24,Farm 2,3638
2019-8-25,Farm 0,6607
2019-8-25,Farm 1,8750
2019-8-25,Farm 2,3577
2019-8-26,Farm 0,6856
2019-8-26,Farm 1,8812
2019-8-26,Farm 2,3427
2019-8-27,Farm 0,6722
2019-8-27,Farm 1,8681
2019-8-27,Farm 2,3486
2019-8-28,Farm 0,6780
2019-8-28,Farm 1,8778
2019-8-28,Farm 2,3384
2019-8-29,Farm 0,6610
2019-8-29,Farm 1,8757
2019-8-29,Farm 2,3789
2019-8-30,Farm 0,6672
2019-8-30,Farm 1,8757
2019-8-30,Farm 2,3315
2019-8-31,Farm 0,6717
2019-8-31,Farm 1,8854
2019-8-31,Farm 2,3581
